Id,age,Industry,job,salary,currency,country,years_field_experience,education,gender,salary_usd,new_currency
26511,35-44,Pharma,"Director, Medical Information ",210000,USD,United States,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,210000.0,USD
26512,35-44,Architecture,Senior Architect,145000,USD,USA,11 - 20 years,Master's degree,Woman,145000.0,USD
26513,35-44,Retail,IT Mac Lead,42500,GBP,United Kingdom,21 - 30 years,College degree,Man,55397.475,USD
26514,25-34,Construction,HR Specialist,47100,USD,USA,2 - 4 years,College degree,Woman,47100.0,USD
26515,35-44,Education (Higher Education),Academic Librarian,80000,USD,US,8 - 10 years,Master's degree,Woman,80000.0,USD
26516,35-44,Recruitment or HR,HR Consultant ,200000,USD,USA,8 - 10 years,College degree,Woman,200000.0,USD
26517,25-34,Retail,Assistant Store Manager,50000,USD,United States,5-7 years,College degree,Woman,50000.0,USD
26518,35-44,Computing or Tech,senior technical professional,110000,USD,USA,5-7 years,College degree,Man,110000.0,USD
26519,35-44,Computing or Tech,Product Manager,99000,USD,United States,11 - 20 years,College degree,Woman,99000.0,USD
26520,18-24,Computing or Tech,Business Intelligence Analyst,60000,CAD,Canada,1 year or less,College degree,Man,48030.600000000006,USD
26521,45-54,Engineering or Manufacturing,Engineering Manager,168000,USD,United States,21 - 30 years,Master's degree,Man,168000.0,USD
26522,45-54,Computing or Tech,Principal Engineer,175000,USD,New Zealand,11 - 20 years,High School,Man,175000.0,USD
26523,18-24,Nonprofits,Full Stack Developer,80000,AUD,New Zealand,1 year or less,Some college,Man,59439.200000000004,USD
26524,25-34,Computing or Tech,Senior Customer Champion,46100,GBP,England,5-7 years,College degree,Man,60089.967,USD
26525,45-54,Education (Higher Education),Professional Teaching Fellow,180000,AUD,New Zealand,21 - 30 years,College degree,Man,133738.2,USD
26526,35-44,Computing or Tech,Creative technologist ,200000,USD,USA ,11 - 20 years,College degree,Man,200000.0,USD
26527,25-34,"Accounting, Banking & Finance",Partner,185000,AUD,New Zealand,8 - 10 years,College degree,Man,137453.15,USD
26528,35-44,Transport or Logistics,Senior software engineer 250000,250000,AUD,New Zealand,11 - 20 years,High School,Man,185747.5,USD
26529,35-44,Engineering or Manufacturing,Senior IT Program Manager,187000,USD,USA,11 - 20 years,Master's degree,Woman,187000.0,USD
26530,35-44,Property or Construction,Purchasing Specialist,37440,USD,USA,1 year or less,College degree,Woman,37440.0,USD
26531,25-34,Nonprofits,Districtwide Program Coordinator,47000,USD,United States,8 - 10 years,Master's degree,Woman,47000.0,USD
26532,45-54,Art & Design,Creative director ,250000,USD,United States,21 - 30 years,Some college,Man,250000.0,USD
26533,35-44,Health care,Medical director,230000,USD,United States,5-7 years,"Professional degree (MD, JD, etc.)",Man,230000.0,USD
26534,35-44,"Accounting, Banking & Finance",Financial Reporting Associate,45000,USD,United States,8 - 10 years,College degree,Woman,45000.0,USD
26535,55-64,Law,Litigation assistant,86000,USD,U.S.A.,31 - 40 years,Master's degree,Woman,86000.0,USD
26536,35-44,Education (Higher Education),accreditation manager,40,GBP,uk,1 year or less,Master's degree,Woman,52.138799999999996,USD
26537,35-44,Library,Assistant Director & District Consultant,81000,USD,United States,11 - 20 years,Master's degree,Woman,81000.0,USD
26538,25-34,Political Research,Research Analyst,40000,USD,United States of America,1 year or less,College degree,Man,40000.0,USD
26539,18-24,Media & Digital,Analyst,65000,USD,usa,2 - 4 years,College degree,Man,65000.0,USD
26540,45-54,Education (Higher Education),Administrative Support Assistant 4,47196,USD,United States,11 - 20 years,Some college,Woman,47196.0,USD
26541,18-24,Environmnetal ,Ecological specialist ,43000,USD,USA,2 - 4 years,College degree,Woman,43000.0,USD
26542,45-54,Media & Digital,Program Manager,65000,USD,United States,11 - 20 years,College degree,Man,65000.0,USD
26543,25-34,Computing or Tech,Services and Systems designer,49000,USD,Usa,5-7 years,College degree,Non-binary,49000.0,USD
26544,18-24,Computing or Tech,Implementation Analyst,42000,USD,USA,2 - 4 years,nan,nan,42000.0,USD
26545,25-34,"Marketing, Advertising & PR",Account Coordinator ,43500,USD,United States ,2 - 4 years,College degree,Woman,43500.0,USD
26546,35-44,Computing or Tech,Software Engineering manager,194000,USD,Usa,2 - 4 years,College degree,Man,194000.0,USD
26547,35-44,Computing or Tech,Client success manager ,65000,USD,United States ,2 - 4 years,College degree,Woman,65000.0,USD
26548,35-44,"Accounting, Banking & Finance",DevOps engineer,135000,USD,usa,1 year or less,College degree,Man,135000.0,USD
26549,35-44,Education (Higher Education),Associate Professor,100000,USD,USA,11 - 20 years,PhD,Woman,100000.0,USD
26550,35-44,Transport or Logistics,Warehouse Supervisor,60000,USD,USA,5-7 years,Master's degree,Woman,60000.0,USD
26551,35-44,"Accounting, Banking & Finance","articling student, accounting",45000,CAD,canada,1 year or less,College degree,Woman,36022.950000000004,USD
26552,45-54,Health care,Data Analyst,80000,USD,USA,2 - 4 years,PhD,Woman,80000.0,USD
26553,45-54,Computing or Tech,Senior Software Engineer II,129000,USD,US,21 - 30 years,College degree,Woman,129000.0,USD
26554,35-44,Computing or Tech,"DevOps, Senior Engineer",176000,USD,United States,5-7 years,College degree,Man,176000.0,USD
26555,25-34,Insurance,Business Analyst,74000,USD,United States,2 - 4 years,College degree,Woman,74000.0,USD
26556,35-44,Health care,Nurse practitioner,105000,USD,USA,2 - 4 years,Master's degree,Woman,105000.0,USD
26557,35-44,"Marketing, Advertising & PR",Vice President of Public Relations,130000,USD,United States,11 - 20 years,College degree,Woman,130000.0,USD
26558,45-54,Business or Consulting,Partner,1300000,USD,USA,21 - 30 years,"Professional degree (MD, JD, etc.)",nan,1300000.0,USD
26559,18-24,"Accounting, Banking & Finance",Analyst,32000,GBP,United Kingdom,1 year or less,Master's degree,Man,41711.03999999999,USD
26560,35-44,Health care,Psychologist,91500,USD,United States,8 - 10 years,PhD,Woman,91500.0,USD
